Title2,Title,Poem,first_line,line1,line2,line3,line4,line5,line6,line7
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,Captain Hook must remember,Not to scratch his toes.,Captain Hook must watch out,I can express,What I feel,From my mind,To white paper
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,Captain Hook must remember,Not to scratch his toes.,Captain Hook must watch out,Captain hook must be careful,When scratching his toes,If he is not careful,He could hook a toe
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,"that its almost December,","he has to be careful not to slide,",but his hook makes up for a nice ride,Captain Hook must remeber,"that its almost December,","he has to be careful not to slide,",but his hook makes up for a nice ride
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,"that its almost December,","he has to be careful not to slide,",but his hook makes up for a nice ride,"Captain Hook must be careful,","his hook can make him pitiful,","he would no longer be captain,",and his hook would become a pan.
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,"that its almost December,","he has to be careful not to slide,",but his hook makes up for a nice ride,captain hook must remember,"that is almost december,","he has to be careful not to slide,",but his hook makes up for a nice ride
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,my hair is curly sort of clown-ish,i wish my skin was orange or yellow,like a clown i would be  funny-ish  type  fellow.,my jokes are plain and fair,sort of like my grandpa's hair.,i am playful like no other,you can say i'm the yellow brother
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,my hair is curly sort of clown-ish,i wish my skin was orange or yellow,like a clown i would be  funny-ish  type  fellow.,My skin wet,My hair Dry,Look at the color of my eye,RED
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,exact opposite of my hair,the thing about color is that any one is fair,and life goes on,My skin is kind of sort of brownish,exact oposite of my hair,the thing about color is that any one is fair,and life goes on
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,exact opposite of my hair,the thing about color is that any one is fair,and life goes on,Do you care about my skin,My hair can often change,I may look different than my kin,Parents can rearrange
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,exact opposite of my hair,the thing about color is that any one is fair,and life goes on,My skin could be considered tannish,quite lighter than my hair,can you guess the colorish,though its neither here nor there
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,My hair is brownish too.,"Brown is not a color I like,",It reminds me of a shoe.,my skin is kind of sort of brownish,my hair is brownish too.,"brown is not acolor i like,",it reminds me of a shoe.
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,My hair is brownish too.,"Brown is not a color I like,",It reminds me of a shoe.,My mood is neutral,My expression is too,the important thing is not to be neutral,To the people who are not neutral to us
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,My hair is brownish too.,"Brown is not a color I like,",It reminds me of a shoe.,But when the summer sun shines on my skin,My hair becomes so radiant,The color now brings me joy,I know I am someone who was sent
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Went pop goes the weasel.,With  a bang on the close,The lid flew and hit the easel.,Are wild and soaring,"little fish truly wish they could drown,","There was a shout about my ears,","the buzzards all hover, as tigers take cover,"
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Went pop goes the weasel.,With  a bang on the close,The lid flew and hit the easel.,i didn't know a cruise ship could catch the missiles,My wife  has me on pins and needles,bumble bees like skittles,dogs like pillows
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,would not close so it could pop,it waved around and looked at me,its lid was broke and  it was free.,Free as can be,Waving around,My broken jack-in-the box,I guess now I'll play with blocks
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,"Lost its lid, taken by a fox","I was sad, unable to close the box","But instead of crying, I went to see the Boston Red Sox",look up look in theirs a jack-in -the- box,close real close with nothing to stop,shut it before he comes out,the lid will not pout it will shout
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,"Lost its lid, taken by a fox","I was sad, unable to close the box","But instead of crying, I went to see the Boston Red Sox",This afternoon that old Jack-in-the-box,was repaired in perfect time,now we can close the lid to his box,and he can spring back to his prime.
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,"Lost its lid, taken by a fox","I was sad, unable to close the box","But instead of crying, I went to see the Boston Red Sox",I looked at the clocks,I pulled up my socks,I was now feeling yellow,and left full of jello
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,Come see your life in my crystal glass‚Äî,Twenty-five cents is all you pay.,Let me look into your past‚Äî,Advice from me is what you seek,No spell is needed to cast,Let me look into your past,Come see your life in my crystal glass
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,Come see your life in my crystal glass‚Äî,Twenty-five cents is all you pay.,Let me look into your past‚Äî,have lunch with me,as i look into your past,in my crystal glass,i can see your past
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,Come see your life in my crystal glass‚Äî,Twenty-five cents is all you pay.,Let me look into your past‚Äî,If you look into the crystal glass,You're gonna miss your lunch,You may see into your past,Which means you should of had brunch
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,as i have seen you in the past.,"eating lunch with friends, having a good time.","as you all rap and rhyme, oh what a time.","My crystal shows you'll have some fun,","during lunch, at a quarter to one.","A friend will bring a story from past,",and milk will come out your nose so fast.
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,as i have seen you in the past.,"eating lunch with friends, having a good time.","as you all rap and rhyme, oh what a time.",Red is the crystal,that comes form the past,lunch is a form,of credit or cash
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,as i have seen you in the past.,"eating lunch with friends, having a good time.","as you all rap and rhyme, oh what a time.",I hope you somehow can.,I admire you from this land.,And I can't begin to decipher-,My feelings for you.
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,IT IS LIKE A BRICK,NOT TRANLUCENT,AND HEAVY,Be careful what you ask,I can can see your future and your past,You feel I'm a flake and I can sense your hunch,I'm trying to scrape together enough to buy lunch.
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,IT IS LIKE A BRICK,NOT TRANLUCENT,AND HEAVY,have some lunch,and i tell you about your past,in this heavy crystal glass,you dropped your lunch i didnt see that coming lol
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,IT IS LIKE A BRICK,NOT TRANLUCENT,AND HEAVY,"FUNNY LADY ,FUNNY LADY",WHERE ARE YOU GOING,I AM GOING TO A MARRIAGE,WHICH IS MY COUSINS
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,"Little man, little man",it's time to come down,"Stan, Stan, Stan",no more diving today,we can dive tomorrow,on this board,but home we must go
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,"Slowing looking down, you take a dive",You fall into a pool of jello,Just thankful to be alive.,You‚Äôve been up on that diving board,"Slowing looking down, you take a dive",You fall into a pool of jello,ust thankful to be alive.
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,"Slowing looking down, you take a dive",You fall into a pool of jello,Just thankful to be alive.,You must be dreaming and can't believe your eyes,Diving into a pool of jello has no become fries?!,So you shimmy your way to the diving board again,Maybe this time you'll land in a milkshake for the win.
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,Bouncing so very high.,You've now left on the diving board.,Your speedo before the dive.,You still have the whole day.,To get your act in place.,Before you get down too low.,And fall on your face.
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,Bouncing so very high.,You've now left on the diving board.,Your speedo before the dive.,You've had a fear of diving,You hate the cold wet board,Dive! Just keep trying,Blah blah blah you're bored
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,Bouncing so very high.,You've now left on the diving board.,Your speedo before the dive.,I am diving up real high,on the board not bored,the day is hot,so i will dive high and glide down into the deep beneath
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",An early one sees it all.,Like a worm in a berm,Of a parking lot at a mall.,If you're late and hesitate,You'll see nothing at all,And your mind will be a slate,That has nothing to recall
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",Wake up at the crack of dawn.,Do not hear another word,Go outside and eat worms from the lawn.,But if you're a worm under the lawn,Make a friend of that early bird.,Get ready to make your foe a pawn,And feed him to that early bird
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",Wake up at the crack of dawn.,Do not hear another word,Go outside and eat worms from the lawn.,"Oh, to be a bird",To be the worm that never heard the bird,Sometimes the early bird gets the worm,Sometimes the big ol worm gets the bird!  Go worms!
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird","the early bird gets the worm, only if the worm is a ealy bird","the early worms, gets to see a bird devour him",why are birds and worms waking up early?,the worm wants to be up early,why? so he can be the first to be picked,"""the bird wants me""",the worm was left feeling so special
