Title2,Title,Poem,first_line,line1,line2,line3,line4,line5,line6,line7
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,My springy hair is red and curly,But I'm saved from looking clownish,"Because my teeth are lovely, white and pearly",I really wish my hair would straighten,I try all the time,But I think the deal I made with Satan,shows my hair is punishment for my crime
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,my skin is too,the colour of my hair is clownish,even my friends call me winnie the pooh,My hair is blondish red,The summer sun has deepened my tan,I rest comfortably in my bed,Hypnotized by the whirling fan
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,my skin is too,the colour of my hair is clownish,even my friends call me winnie the pooh,The ground it calls me kin sometimes,brown birds croon at my hair,But here's my little secret friends,I dream of being fair
,COLORS (Where the Sidewalk Ends),"My skin is kind of sort of brownish<br><br>
Pinkish yellowish white.<br><br>
My eyes are grayish blueish green,<br><br>
But I’m told they look orange in the night.<br><br>
My hair is reddish blondish brown,<br><br>
But it’s silver when it’s wet.<br><br>
And all the colors I am inside<br><br>
Have not been invented yet.<br><br>",My skin is kind of sort of brownish,my skin is too,the colour of my hair is clownish,even my friends call me winnie the pooh,The first stanza was written without flair,As if written by a child of two,Winnie the Pooh does not have clownish hair,Is your fur's color yellow too?
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Was close to flipping it‚Äôs lid,I cranked him and cranked him,Until he thought he was on acid,I told jack-in-the-box,to close his little lid,he's clever like a fox,and that's just what he did
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Was close to flipping it‚Äôs lid,I cranked him and cranked him,Until he thought he was on acid,Jack-in-the-box don't let me down,"Pop open, pop open. What a surprise.",You are the best acid head around!,The best that ever crossed my eyes.
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Was close to flipping it‚Äôs lid,I cranked him and cranked him,Until he thought he was on acid,put that old box,refused to pop,and so i kicked it with my socks,and allowed it to drop
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Refused to open and close,The old lid stuck half way up,Barely missing his nose.,Jack tenderly felt his bright red nose,"And said with a tear in his eye,","""Close the lid, you dunderhead,","Before you make me die!"""
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Refused to open and close,The old lid stuck half way up,Barely missing his nose.,Oh why Jack in the box,I had the lid close,Oh why Jack in the box,Why did you not lose
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Refused to open and close,The old lid stuck half way up,Barely missing his nose.,I cranked and cranked,but he didn't budge,so instead of giving him a harmful yank,I gave him a gentle nudge.
,COMPLAININ‚Äô JACK (Falling Up),"This morning my old jack-in-the-box<br><br>
Popped out—and wouldn’t get back-in-the-box.<br><br>
He cried, “Hey, there’s a tack-in-the-box,<br><br>
And it’s cutting me through and through.”<br><br>

“There also is a crack-in-the-box,<br><br>
And I never find a smack-in-the-box,<br><br>
And sometimes I hear a quack-in-the-box,<br><br>
‘Cause a duck lives in here, too.”<br><br>

Complain, complain is all he did—<br><br>
I finally had to close the lid.<br><br>",This morning my old jack-in-the-box,Popped out‚Äîand wouldn't get back-in-the-box.,"He cried, ""Hey, there's a tack-in-the-box",And it's cutting me through and through,Jack wanted to get out of the box,And tried to be as quick as fox,"But cried, ""Hey, I am stuck in the box",And he picked up and tack and threw i
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,There's something here I can't get past,Your picnic lunch on the grass,Was so amazingly vast.,I think this lunch will satisfy,Far past your urge to eat,My crystal shows you clearly why,You can not see your feet
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,There's something here I can't get past,Your picnic lunch on the grass,Was so amazingly vast.,How could you drink all the punch,In my gigantic crystal glass?,It made it a vast and massive lunch.,Past indiscretions have increased your mass.
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,There's something here I can't get past,Your picnic lunch on the grass,Was so amazingly vast.,I see the past,In my crystal glass,But at last,Your life is summed up by a lunch in the grass.
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,Come to have lunch and where your dress .,Dreams your life in the crystal glass.,Past your dreams where you have lunch .,Today the crystal water glistens,The shells on the sand reveal the past,After lunch we'll stop to listen,To the history they tell of worlds that last
,CRYSTAL BALL (Falling Up),"Come see your life in my crystal glass—<br><br>
Twenty-five cents is all you pay.<br><br>
Let me look into your past—<br><br>
Here’s what you had for lunch today:<br><br>
Tuna salad and mashed potatoes,<br><br>
Green pea soup and apple juice,<br><br>
Collard greens and stewed tomatoes,<br><br>
Chocolate milk and lemon mousse.<br><br>
You admit I’ve told it all?<br><br>
Well, I know it, I confess,<br><br>
Not by looking in my ball,<br><br>
But just by looking at your dress.<br><br>",Come see your life in my crystal glass‚Äî,Look deep within and see the past.,and then it hits you like a  punch.,Oh my lord I forgot my lunch.,It seems i have lost touch,With the visions in my mind,"Another life, I wish so much",To escape from here and find.
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,Won't you take a dive?,You've been on that diving board since dawn,and it's 11:35.,"Wipe away those pathetic tears,",Like the board - stay calm and cool,"Let go of any diving fears,",Dive - head first - inside that empty pool.
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,Won't you take a dive?,You've been on that diving board since dawn,and it's 11:35.,It's hot out in the sun,The water would be cool,hurry up and get it done,Just dive in the damn pool
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,Won't you take a dive?,You've been on that diving board since dawn,and it's 11:35.,Oh please may you jump?,It'll make you feel alive.,If you're scared just count to ten,I promise you'll survive.
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,Looking to take a sharp dive,And if you knew what all this was truly for,You would have taken the slide,Clowns love diving,People love to hit the board,Painted faces love depriving,Now dive into the mental ward
,DIVING BOARD (Falling Up),"You’ve been up on that diving board<br><br>
Making sure that it’s nice and straight.<br><br>
You’ve made sure that it’s not too slick.<br><br>
You’ve made sure it can stand the weight.<br><br>
You’ve made sure that the spring is tight.<br><br>
You’ve made sure that the cloth won’t slip.<br><br>
You’ve made sure that it bounces right,<br><br>
And that your toes can get a grip—<br><br>
And you’ve been up there since half past five<br><br>
Doin’ everything… but DIVE.<br><br>",You‚Äôve been up on that diving board,Looking to take a sharp dive,And if you knew what all this was truly for,You would have taken the slide,Off the diving board I fell,Not actually a dive,"An akward belly flop, I remember it well","I was slowly learning, I was only five"
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird","if a worm, it is best to sleep in I heard",If you wake really early.,You may be taken by the squirrely.,And If you worm wake late.,In darkness the bird won't see you well.,Early in the night you'll find something to ate.,But be careful or you may fall in the well.
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird","if a worm, it is best to sleep in I heard",If you wake really early.,You may be taken by the squirrely.,so don't squirm,take my word,find a worm,"be early, bird"
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",If you're a worm watch out in the morning!,"The birds will eat you, they keep their word",Stay underground because you will not get a warning.,Funny I can be,Funny what you made me,To the end and from the beinging,Funny people all around me.
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",If you're a worm watch out in the morning!,"The birds will eat you, they keep their word",Stay underground because you will not get a warning.,but if you use your brain,and pay attention to the song you heard,you might be able to make a change,and be the early worm catching the bird
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",If you're a worm watch out in the morning!,"The birds will eat you, they keep their word",Stay underground because you will not get a warning.,The land I see,Is but you and me,If only we could be,What they told me to see
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",And catch the worm for your breakfast plate.,"If you‚Äôre a bird, be an early early bird","But if you‚Äôre a worm, sleep late","Love, they say it's beautiful, it just might be",up until the point the person you love hurts you.,"Then, you're like why did I fall for that trick called love?",I should've just minded my business
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",And catch the worm for your breakfast plate.,"If you‚Äôre a bird, be an early early bird","But if you‚Äôre a worm, sleep late",For a bird it must be clever,to catch the worm and be fed,so wake early or wake never,(but worms: just stay in bed)
,EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird<br><br>
And catch the worm for your breakfast plate.<br><br>
If you’re a bird, be an early bird—<br><br>
But if you’re a worm, sleep late.<br><br>","Oh, if you‚Äôre a bird, be an early bird",And catch the worm for your breakfast plate.,"If you‚Äôre a bird, be an early early bird","But if you‚Äôre a worm, sleep late","If you're a worm, be a lazy one",And don't poke your snout above ground,Until the early bird has gone,Saying that you are nowhere to be found
,FALLING UP (Falling Up),"I tripped on my shoelace<br><br>
And I fell up—<br><br>
Up to the roof tops,<br><br>
Up over the town,<br><br>
Up past the tree tops,<br><br>
Up over the mountains,<br><br>
Up where the colors<br><br>
Blend into the sounds.<br><br>
But it got me so dizzy<br><br>
When I looked around,<br><br>
I got sick to my stomach<br><br>
And I threw down.<br><br>",I tripped on my shoelace,So everyone made fun.,Now I have pain in my face.,but it's over and done.,I tied my shoelace once more,Though my heart still felt sick,I began to walk to the store,Away from where I had tripped
,FALLING UP (Falling Up),"I tripped on my shoelace<br><br>
And I fell up—<br><br>
Up to the roof tops,<br><br>
Up over the town,<br><br>
Up past the tree tops,<br><br>
Up over the mountains,<br><br>
Up where the colors<br><br>
Blend into the sounds.<br><br>
But it got me so dizzy<br><br>
When I looked around,<br><br>
I got sick to my stomach<br><br>
And I threw down.<br><br>",I tripped on my shoelace,So everyone made fun.,Now I have pain in my face.,but it's over and done.,I tie up my shoe,Pulling them tight,Matching the two,To keep me upright
,FALLING UP (Falling Up),"I tripped on my shoelace<br><br>
And I fell up—<br><br>
Up to the roof tops,<br><br>
Up over the town,<br><br>
Up past the tree tops,<br><br>
Up over the mountains,<br><br>
Up where the colors<br><br>
Blend into the sounds.<br><br>
But it got me so dizzy<br><br>
When I looked around,<br><br>
I got sick to my stomach<br><br>
And I threw down.<br><br>",I tripped on my shoelace,and fell on my face,"The street is all potholes,",I'm sick of this place,As I tied my shoe,a man pushed as he walked by,then I slipped on some poo,I sure hate that guy
,FALLING UP (Falling Up),"I tripped on my shoelace<br><br>
And I fell up—<br><br>
Up to the roof tops,<br><br>
Up over the town,<br><br>
Up past the tree tops,<br><br>
Up over the mountains,<br><br>
Up where the colors<br><br>
Blend into the sounds.<br><br>
But it got me so dizzy<br><br>
When I looked around,<br><br>
I got sick to my stomach<br><br>
And I threw down.<br><br>",I tripped on my shoelace,and fell on my face,"The street is all potholes,",I'm sick of this place,all dog,are god,mike hit a tie,and biy a pie
,FALLING UP (Falling Up),"I tripped on my shoelace<br><br>
And I fell up—<br><br>
Up to the roof tops,<br><br>
Up over the town,<br><br>
Up past the tree tops,<br><br>
Up over the mountains,<br><br>
Up where the colors<br><br>
Blend into the sounds.<br><br>
But it got me so dizzy<br><br>
When I looked around,<br><br>
I got sick to my stomach<br><br>
And I threw down.<br><br>",I tripped on my shoelace,and the aglet ripped,i need to pack this suitcase,before I get sick,I packed my suitcase,"I didn't get sick,",but I tripped again on my shoelace,is someone playing a trick?
,FALLING UP (Falling Up),"I tripped on my shoelace<br><br>
And I fell up—<br><br>
Up to the roof tops,<br><br>
Up over the town,<br><br>
Up past the tree tops,<br><br>
Up over the mountains,<br><br>
Up where the colors<br><br>
Blend into the sounds.<br><br>
But it got me so dizzy<br><br>
When I looked around,<br><br>
I got sick to my stomach<br><br>
And I threw down.<br><br>",I tripped on my shoelace,and the aglet ripped,i need to pack this suitcase,before I get sick,the reason I tripped,no one can tell,my shoelace had slipped,and sickness fell
,FALLING UP (Falling Up),"I tripped on my shoelace<br><br>
And I fell up—<br><br>
Up to the roof tops,<br><br>
Up over the town,<br><br>
Up past the tree tops,<br><br>
Up over the mountains,<br><br>
Up where the colors<br><br>
Blend into the sounds.<br><br>
But it got me so dizzy<br><br>
When I looked around,<br><br>
I got sick to my stomach<br><br>
And I threw down.<br><br>",I tripped on my shoelace,and the aglet ripped,i need to pack this suitcase,before I get sick,I want to feel well,though the day is going bad,I'm caught up in a spell,I hate feeling so sad
,FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,<br><br>
The big fish eats the little fish—<br><br>
So only the biggest fish gets fat.<br><br>
Do you know any folks like that?<br><br>","The little fish eats the tiny fish,<br><br>
The big fish eats the little fish—<br><br>
So only the biggest fish gets fat.<br><br>
Do you know any folks like that?<br><br>",the big fish eats the little fish,so only the biggest fish get fat,do you know any folks like that?,Little as a little lamb,Jesus came to cut the bread,He pulled my hair back and said,Whisper when you hear his bam
,FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,<br><br>
The big fish eats the little fish—<br><br>
So only the biggest fish gets fat.<br><br>
Do you know any folks like that?<br><br>","The little fish eats the tiny fish,",the big fish eats the little fish,so only the biggest fish get fat,do you know any folks like that?,The little creatures come out at night,so the big creatures cannot have sight,The little creatures then get fat,and the big creatures don't like that
,FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,<br><br>
The big fish eats the little fish—<br><br>
So only the biggest fish gets fat.<br><br>
Do you know any folks like that?<br><br>","The little fish eats the tiny fish,",the big fish eats the little fish,so only the biggest fish get fat,do you know any folks like that?,The fat fish is the greatest desire,For fishermen out for a feast,The little fish with the tiny fish conspire,To trick into the net a big fish called Beast.
,FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,<br><br>
The big fish eats the little fish—<br><br>
So only the biggest fish gets fat.<br><br>
Do you know any folks like that?<br><br>","The little fish eats the tiny fish,",The big one eats the other two,"Now the big fish is fat,",And grew and grew and grew.,The little fish was now big and fat,Too heavy to swim and take flight,The other fish could see that,"And all ate him up, bite by bite"
