HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.title,Input.keyword1,Input.keyword2,Input.keyword3,Input.mood,Input.first_line,Input.line1,Input.line2,Input.line3,Answer.line1,Answer.line2,Answer.line3,Answer.line4,Approve,Reject
3E6L1VR4XWVZ1DV127CVMVMEY0N6FK,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3SB4CE2TJW4JBLWJIH4VWRKU383XAD,A3RGMAV6XHLD35,Submitted,Sun May 05 14:02:29 PDT 2019,Sun May 05 14:04:58 PDT 2019,Sun May 12 14:04:58 PDT 2019,,,,149,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",friend,love,door,Happy,How many slams in an old screen door?,Many friends come and go,That sound is something I adore,It means I'm love and exceedingly so,The door is a gateway to many happy times,Left open the love comes through to reach your heart,Friends smile down as you sit by it each day,It shows the groups of all who pcome and go as one watches time pass,,
3E6L1VR4XWVZ1DV127CVMVMEY0N6FK,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3Z9WI9EOZ0XS185QP4ZYNJZWKZIHKX,A1LXV0C5V4RMSC,Submitted,Mon May 06 08:38:17 PDT 2019,Mon May 06 08:40:55 PDT 2019,Mon May 13 08:40:55 PDT 2019,,,,158,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",friend,love,door,Happy,How many slams in an old screen door?,Many friends come and go,That sound is something I adore,It means I'm love and exceedingly so,The ones I love are always near,It's impossible to feel poor,I count each friend by the slams I hear,From the opening and closing of the screen door,,
3VP28W7DUNT1PNFC4C96JTF934JZF3,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:40 PDT 2019,,,3300DTYQT3Q2S1CJC8BPY2ESRQNQEP,A1RZ6OIXE7G1EV,Submitted,Mon May 06 12:37:24 PDT 2019,Mon May 06 12:41:08 PDT 2019,Mon May 13 12:41:08 PDT 2019,,,,224,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",friend,love,door,Happy,How many slams in an old screen door?,take a guess my friend,love your hammer just like thor,and ride or die until the end,Love is the nectar of life,Walk in friend open the door,Slamming doors bring just strife,Thor wants want to celebrate eve more,,
3VP28W7DUNT1PNFC4C96JTF934JZF3,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:40 PDT 2019,,,3KJYX6QCMAK28PUSC8GQ15QSDJMVJJ,A1CKLUXKT9OE0L,Submitted,Sun May 05 13:25:58 PDT 2019,Sun May 05 13:27:20 PDT 2019,Sun May 12 13:27:20 PDT 2019,,,,82,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",friend,love,door,Happy,How many slams in an old screen door?,take a guess my friend,love your hammer just like thor,and ride or die until the end,"Happy, can you see it?",That happy feeling you give me,"Shh, don't be afaird",Just embrance that feeling.,,
3R5LWXWHR0HIYSBSEER34TZAWJMGXN,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:40 PDT 2019,,,3KYQYYSHYWGUFJL310813F17C96ODG,A1OF1SNRBTYBOZ,Submitted,Sun May 05 23:40:58 PDT 2019,Sun May 05 23:45:17 PDT 2019,Sun May 12 23:45:17 PDT 2019,,,,259,0% (0/0),0% (0/0),0% (0/0),LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),anything,child,shouldn'ts,Happy,"Listen to the MUSTN’TS, child,",But don't let the shouldn'ts get you down,"Be free, run wild",Anything goes on the merry-go-round,And as it spun the children smiled,"When you're having fun, it's hard to frown",Never let them get you riled,Be the best and wear that crown,,
3R5LWXWHR0HIYSBSEER34TZAWJMGXN,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:40 PDT 2019,,,3L4PIM1GQUP0A78APOCJAVGD5GLRYH,A8AZJIRRESORS,Submitted,Sun May 05 00:02:25 PDT 2019,Sun May 05 00:05:51 PDT 2019,Sun May 12 00:05:51 PDT 2019,,,,206,0% (0/0),0% (0/0),0% (0/0),LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),anything,child,shouldn'ts,Happy,"Listen to the MUSTN’TS, child,",But don't let the shouldn'ts get you down,"Be free, run wild",Anything goes on the merry-go-round,Run so far into the fire,By the time you get there it will be chillen down,It will get dryer,And the day will then be brown,,
3FJ2RVH25ZF2I2LNCJ00MMJRFXQ297,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:41 PDT 2019,,,3WMINLGALCCV8NLORL88IEZK2QPCA0,ARR2DFJ5ARX3I,Submitted,Sun May 05 15:58:25 PDT 2019,Sun May 05 16:00:33 PDT 2019,Sun May 12 16:00:33 PDT 2019,,,,128,0% (0/0),0% (0/0),0% (0/0),LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),anything,child,shouldn'ts,Happy,"Listen to the MUSTN’TS, child,",i will do anything for you,we will have child and many things to do,"we shouldn'ts be fighting, and be happy in this mood",No shouldn'ts for my child,anything can be tried,i will be quite mild,and he will be wide-eyed,,
3TZDZ3Y0JSFVTH3RTF0MH39MNRC91X,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,32ZKVD547GWCEXUX46X3KMFWEXZ3BU,A3HJFDE96NFCQ2,Submitted,Sun May 05 23:42:59 PDT 2019,Sun May 05 23:51:19 PDT 2019,Sun May 12 23:51:19 PDT 2019,,,,500,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),skin,hid,passed,Sad,She had blue skin.,that hid from the kin,shallow into the night,hidden in fright,Cold beneath the skin,Despair hidden from my kin,Happiness passed right through me,Sad is what I will be,,
3TZDZ3Y0JSFVTH3RTF0MH39MNRC91X,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,38YMOXR4MV83ZJFQIZRXE341YPMW6C,A1ODM2VVCGZ8UH,Submitted,Sun May 05 23:55:40 PDT 2019,Mon May 06 00:05:41 PDT 2019,Mon May 13 00:05:41 PDT 2019,,,,601,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),skin,hid,passed,Sad,She had blue skin.,that hid from the kin,shallow into the night,hidden in fright,"Her mother just passed,",so her emotions she hid.,"Her skin covered the vast,",but cry she still did.,,
3TZDZ3Y0JSFVTH3RTF0MH39MNRC91X,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3AWETUDC931NMYFWVNKTAAOOOGDIZ6,ARR2DFJ5ARX3I,Submitted,Sun May 05 15:18:38 PDT 2019,Sun May 05 15:22:59 PDT 2019,Sun May 12 15:22:59 PDT 2019,,,,261,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),skin,hid,passed,Sad,She had blue skin.,that hid from the kin,shallow into the night,hidden in fright,as time passed,her skin stayed hid,she thought is would last,but she was just a kid,,
3APP19WN71N5FDRWDRID4GMQZFN6GJ,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:41 PDT 2019,,,3S06PH7KSSD9JRE2VYAQRJOZJV51D9,A1FE66V4XNL333,Submitted,Sun May 05 11:06:01 PDT 2019,Sun May 05 11:07:53 PDT 2019,Sun May 12 11:07:53 PDT 2019,,,,112,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),skin,hid,passed,Sad,She had blue skin.,Her soul hid itself in death.,The next of kin sighed and wept.,Mourning the kid who had passed.,The skin was cyan blue.,Still the bruises could not be hid.,"She passed away slowly,",The only one knowing what he did.,,
3APP19WN71N5FDRWDRID4GMQZFN6GJ,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:41 PDT 2019,,,3TK8OJTYM2UYU0XQ7LLAY1C4MOFVPI,A1A8TN89Y1EIZU,Submitted,Mon May 06 10:04:00 PDT 2019,Mon May 06 10:08:35 PDT 2019,Mon May 13 10:08:35 PDT 2019,,,,275,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),skin,hid,passed,Sad,She had blue skin.,Her soul hid itself in death.,The next of kin sighed and wept.,Mourning the kid who had passed.,It's confusing to let the Devil win,As far back a road as birth,She destroys everything but her skin,Another day on this Earth,,
3FJ2RVH25ZF2I2LNCJ00MMJRFXQ92E,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,31LM9EDVOM1P0KLJAHUZROWFRN4NJS,A1F0FTMZI8B4M7,Submitted,Mon May 06 13:30:03 PDT 2019,Mon May 06 13:31:40 PDT 2019,Mon May 13 13:31:40 PDT 2019,,,,97,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),skin,hid,passed,Sad,She had blue skin.,With blue eyes to match.,She didn't know what love meant within.,"There is another blue heart out in the world, she is hoping to catch",As the sea attracts fish,how the sky catches the stars,how blue catches the day,"likewise, eternally",,
3FJ2RVH25ZF2I2LNCJ00MMJRFXQ92E,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3IGI0VL648T31VCGQUM4ZKD1QFAON4,A1S25NBTJQC64E,Submitted,Mon May 06 05:32:32 PDT 2019,Mon May 06 05:35:52 PDT 2019,Mon May 13 05:35:52 PDT 2019,,,,200,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),skin,hid,passed,Sad,She had blue skin.,With blue eyes to match.,She didn't know what love meant within.,"There is another blue heart out in the world, she is hoping to catch",He will have blue skin,And have blue eyes too,He will show her what love is about,"Unfortunately, she cannot find him and has lost her chance to catch",,
3FJ2RVH25ZF2I2LNCJ00MMJRFXQ92E,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3NG53N1RLWS0JO1DZSA06NSWBQZP8S,A3FOQKH42DTA0U,Submitted,Mon May 06 08:45:25 PDT 2019,Mon May 06 08:47:33 PDT 2019,Mon May 13 08:47:33 PDT 2019,,,,128,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),skin,hid,passed,Sad,She had blue skin.,With blue eyes to match.,She didn't know what love meant within.,"There is another blue heart out in the world, she is hoping to catch",She was a mermaid,With a light but dimmed,Paid to play the maid,She said her princes name was Tim,,
3AQN9REUTFP4MDRBHKCXHM3MLX0DYG,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3IXEICO793SB72BWNUMMRJX2USDT6M,A3ILNJMBARBMU,Submitted,Sun May 05 11:43:52 PDT 2019,Sun May 05 11:46:28 PDT 2019,Sun May 12 11:46:28 PDT 2019,,,,156,0% (0/0),0% (0/0),0% (0/0),PANCAKE? (Where the Sidewalk Ends),pancake,griddle,swet,Funny,"Who wants a pancake,",Sweet and piping hot?,"Good little Grace looks up and says,","""I'll take the one on top.""",I flip two pancakes off the griddle,Grace covers it with maple syrup sweet,With butter stuffed in the middle,And she beats a hasty retreat,,
3AQN9REUTFP4MDRBHKCXHM3MLX0DYG,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3SNLUL3WO5W8Q0TSA3IYLY1136JLUX,A3TYZG608WQ96T,Submitted,Mon May 06 08:02:49 PDT 2019,Mon May 06 08:08:01 PDT 2019,Mon May 13 08:08:01 PDT 2019,,,,312,0% (0/0),0% (0/0),0% (0/0),PANCAKE? (Where the Sidewalk Ends),pancake,griddle,swet,Funny,"Who wants a pancake,",Sweet and piping hot?,"Good little Grace looks up and says,","""I'll take the one on top.""",That's a sweet little pancake little Grace,Do you think i could have one too?,Straight off the griddle and before my face,twas sweetness through and through,,
3AQN9REUTFP4MDRBHKCXHM3MLX0DYG,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3UJ1CZ6IZIYE9YY3TB7RP8NGWEF5SK,A2863HMYTPYILA,Submitted,Sun May 05 10:17:35 PDT 2019,Sun May 05 10:25:51 PDT 2019,Sun May 12 10:25:51 PDT 2019,,,,496,0% (0/0),0% (0/0),0% (0/0),PANCAKE? (Where the Sidewalk Ends),pancake,griddle,swet,Funny,"Who wants a pancake,",Sweet and piping hot?,"Good little Grace looks up and says,","""I'll take the one on top.""","""I want the one in the middle""",Yelled Charlie who was stuck in his seat,Theres more on the griddle,Theres enough for us all to eat,,
3R868ACW4SL73NB7FWFO1EFL4JJZG2,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,30JNVC0ORATECB3L29JVJ5B5JY3QHD,A1ZEX7P9CJ6Z0F,Submitted,Sun May 05 08:12:48 PDT 2019,Sun May 05 08:14:38 PDT 2019,Sun May 12 08:14:38 PDT 2019,,,,110,0% (0/0),0% (0/0),0% (0/0),PANCAKE? (Where the Sidewalk Ends),pancake,griddle,swet,Funny,"Who wants a pancake,",The griddle is hot,Sweet yummy pancakes,Buttery goodness in the pot.,Come all to eat your pancakes,The gridddle is now cool,I set the table with pancakes,The sweet syrup will make you drool,,
