title,first_line,keyword1,keyword2,keyword3,mood,line1,line2,line3,isEnglish.no,isEnglish.yes,isGoodPoem.no,isGoodPoem.yes,reflectsMood.no,reflectsMood.yes,rhymes.no,rhymes.yes,whichKeywords.key1,whichKeywords.key2,whichKeywords.key3
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,Underneath my mast,Hides a smiley face,I once wore in the past,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,Underneath my mast,Hides a smiley face,I once wore in the past,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,I'm free as any bird,My mind can roam to any place,and sniley's not a word,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,I'm free as any bird,My mind can roam to any place,and sniley's not a word,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,I'm free as any bird,My mind can roam to any place,and sniley's not a word,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,There's a face that none can see.,"A little less smiley,","A little less sure,",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,There's a face that none can see.,"A little less smiley,","A little less sure,",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,There's a face that none can see.,"A little less smiley,","A little less sure,",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,It's not a bad old life,But I am far too scared to hatch,for KFC is rife.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,It's not a bad old life,But I am far too scared to hatch,for KFC is rife.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,It's not a bad old life,But I am far too scared to hatch,for KFC is rife.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,A chicken who was layed to die,I don't even need to beg,I hatch then I say goodbye,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,A chicken who was layed to die,I don't even need to beg,I hatch then I say goodbye,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,A chicken who was layed to die,I don't even need to beg,I hatch then I say goodbye,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,I come out with lots of dreams,"Grow Up, Grow Up",My Life Ends Sad.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,I come out with lots of dreams,"Grow Up, Grow Up",My Life Ends Sad.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
I WONâ€™T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,I come out with lots of dreams,"Grow Up, Grow Up",My Life Ends Sad.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,With lines of grass and loam,Then add a drop of tincture,To complete your silly poem,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,With lines of grass and loam,Then add a drop of tincture,To complete your silly poem,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,With lines of grass and loam,Then add a drop of tincture,To complete your silly poem,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,Silly as can be.,"Draw a crazy picture,",Write a poem just for me.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,Silly as can be.,"Draw a crazy picture,",Write a poem just for me.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,Silly as can be.,"Draw a crazy picture,",Write a poem just for me.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,"Write a nutty poem,","Sing a mumble-gumble song,",Whistle through your comb.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,"Write a nutty poem,","Sing a mumble-gumble song,",Whistle through your comb.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,"Write a nutty poem,","Sing a mumble-gumble song,",Whistle through your comb.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,the noees sit down to rest,think for yourself before banishing,the fees you pay are the best,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,the noees sit down to rest,think for yourself before banishing,the fees you pay are the best,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,the noees sit down to rest,think for yourself before banishing,the fees you pay are the best,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,That anyone suggested,The Noees said no to everything,Unless it was proven and tested,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,That anyone suggested,The Noees said no to everything,Unless it was proven and tested,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,That anyone suggested,The Noees said no to everything,Unless it was proven and tested,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,The Noess said no to everyone,The thinkforyourselfees wanted to sing,Since no one was happy they had no fun.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,The Noess said no to everyone,The thinkforyourselfees wanted to sing,Since no one was happy they had no fun.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,The Noess said no to everyone,The thinkforyourselfees wanted to sing,Since no one was happy they had no fun.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
