"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.title","Input.first_line","Input.keyword1","Input.keyword2","Input.keyword3","Input.mood","Answer.line1","Answer.line2","Answer.line3","Approve","Reject"
"3H5TOKO3D9YS0XIVXXYQOLTRR7X64I","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3FE2ERCCZYN71G8CLFHAW2M2JNHPOF","A15VCKELIEEPJN","Submitted","Tue Apr 16 18:39:00 PDT 2019","Tue Apr 16 18:43:10 PDT 2019","Fri Apr 19 18:43:10 PDT 2019","","","","250","0% (0/0)","0% (0/0)","0% (0/0)","MASKS (Every Thing On It)","She had blue skin.","skin","hid","passed","Sad","Behind it hid the pain.","She had blue eyes.","The tears fell like rain.",,
"3H5TOKO3D9YS0XIVXXYQOLTRR7X64I","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3FTF2T8WLSXUE217VCCNR6Z9HMD9WX","A33BQSQETWHO8R","Submitted","Tue Apr 16 23:07:46 PDT 2019","Tue Apr 16 23:08:15 PDT 2019","Fri Apr 19 23:08:15 PDT 2019","","","","29","0% (0/0)","0% (0/0)","0% (0/0)","MASKS (Every Thing On It)","She had blue skin.","skin","hid","passed","Sad","She had blue skin.","And so did he.","He kept it hid",,
"3WRKFXQBOBMORORGO5VM1DN3VZRIY9","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","32XVDSJFP0CN96MU61RL8LP4DE8M2A","A3HRT1N203Q955","Submitted","Tue Apr 16 21:16:18 PDT 2019","Tue Apr 16 21:17:38 PDT 2019","Fri Apr 19 21:17:38 PDT 2019","","","","80","0% (0/0)","0% (0/0)","0% (0/0)","PANCAKE? (Where the Sidewalk Ends)","Who wants a pancake,","pancake","griddle","swet","Funny","a pancake made by my mom.","She griddled it with sugar and water.","Oh no! It's not water, it's her sweat!",,
"3WRKFXQBOBMORORGO5VM1DN3VZRIY9","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3G0WWMR1UWZAJ79FKDWMHIC7YBJQNH","A3OYZK65C2G39N","Submitted","Wed Apr 17 00:20:01 PDT 2019","Wed Apr 17 00:24:02 PDT 2019","Sat Apr 20 00:24:02 PDT 2019","","","","241","0% (0/0)","0% (0/0)","0% (0/0)","PANCAKE? (Where the Sidewalk Ends)","Who wants a pancake,","pancake","griddle","swet","Funny","hot off the griddle","melted butter","and syrupy dribbles!",,
"3WRKFXQBOBMORORGO5VM1DN3VZRIY9","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3PXX5PX6LYDGVID1SRUR0NX8D48BAV","A2UXHHB01WOTI2","Submitted","Wed Apr 17 04:33:09 PDT 2019","Wed Apr 17 04:34:00 PDT 2019","Sat Apr 20 04:34:00 PDT 2019","","","","51","0% (0/0)","0% (0/0)","0% (0/0)","PANCAKE? (Where the Sidewalk Ends)","Who wants a pancake,","pancake","griddle","swet","Funny","It's hot from the griddle.","With syrup like lake,","Poured in the middle.",,
"3IV1AEQ4DRS57TK4TJISE1E1FZD8JX","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3IJXV6UZ1YYIH7DO0C8UH0QV8X6RIG","A2RR2BUAT4C3T7","Submitted","Tue Apr 16 21:36:30 PDT 2019","Tue Apr 16 21:38:01 PDT 2019","Fri Apr 19 21:38:01 PDT 2019","","","","91","0% (0/0)","0% (0/0)","0% (0/0)","SNOWBALL (Falling Up)","I made myself a snowball","snowball","pajamas","sleep","Funny","In my sleep I rolled the snowball","And stuffed it down my pajamas","Because I didn't want to throw it at the wall.",,
"3IV1AEQ4DRS57TK4TJISE1E1FZD8JX","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3LUY3GC630F0GAGD4T08LG07TXL7PJ","A2DCY0ANVT2BAW","Submitted","Tue Apr 16 17:43:27 PDT 2019","Tue Apr 16 17:44:31 PDT 2019","Fri Apr 19 17:44:31 PDT 2019","","","","64","0% (0/0)","0% (0/0)","0% (0/0)","SNOWBALL (Falling Up)","I made myself a snowball","snowball","pajamas","sleep","Funny","To play with all day","I put it in my bed to sleep","But all I got was a puddle",,
"3IV1AEQ4DRS57TK4TJISE1E1FZD8JX","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3U84XHCDIDSXBR00P40392IBCWKZ4Y","A3HRT1N203Q955","Submitted","Tue Apr 16 21:07:39 PDT 2019","Tue Apr 16 21:08:48 PDT 2019","Fri Apr 19 21:08:48 PDT 2019","","","","69","0% (0/0)","0% (0/0)","0% (0/0)","SNOWBALL (Falling Up)","I made myself a snowball","snowball","pajamas","sleep","Funny","I made myself a snowball.","It's pajamas were white as snow.","I let it sleep in the snow all day.",,
"31MBOZ6PAO6DEMYHDGAAW2NC9F3LCI","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","34QN5IT0T061S7HCXDDOKFVUW9808L","A1CKLUXKT9OE0L","Submitted","Tue Apr 16 17:14:55 PDT 2019","Tue Apr 16 17:19:13 PDT 2019","Fri Apr 19 17:19:13 PDT 2019","","","","258","0% (0/0)","0% (0/0)","0% (0/0)","SOMETHING MISSING (A Light in the Attic)","I remember I put on my socks,","forgot","socks","beautiful","Funny","the beauty of forgetting","funny that it's about something so basic","socks, how ironic you became a beautiful forgotful memory.",,
"31MBOZ6PAO6DEMYHDGAAW2NC9F3LCI","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","34QN5IT0T061S7HCXDDOKFVUWCC08V","A2UXHHB01WOTI2","Submitted","Wed Apr 17 04:43:28 PDT 2019","Wed Apr 17 04:46:00 PDT 2019","Sat Apr 20 04:46:00 PDT 2019","","","","152","0% (0/0)","0% (0/0)","0% (0/0)","SOMETHING MISSING (A Light in the Attic)","I remember I put on my socks,","forgot","socks","beautiful","Funny","that were made for Christmas.","Patterned with Hollyhocks","That were beautiful and listless.",,
"31MBOZ6PAO6DEMYHDGAAW2NC9F3LCI","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3KMS4QQVK35CKCY39KTCDRRPXDYKF3","A3OYZK65C2G39N","Submitted","Tue Apr 16 22:56:48 PDT 2019","Tue Apr 16 23:00:17 PDT 2019","Fri Apr 19 23:00:17 PDT 2019","","","","209","0% (0/0)","0% (0/0)","0% (0/0)","SOMETHING MISSING (A Light in the Attic)","I remember I put on my socks,","forgot","socks","beautiful","Funny","yesturday I remember i forgot,","I remember thinking of beautiful you,","and how you had forgotten your socks too!",,
"35JDMRECC4OCPS4UYGJP9YI7YAUGE0","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","35K3O9HUACS9YC6TDYI9FWEKDEWFE4","A1CKLUXKT9OE0L","Submitted","Tue Apr 16 17:19:23 PDT 2019","Tue Apr 16 17:21:36 PDT 2019","Fri Apr 19 17:21:36 PDT 2019","","","","133","0% (0/0)","0% (0/0)","0% (0/0)","UNDERFACE (Every Thing On It)","Underneath my outside face","face","underneath","sniley","Sad","Sniley underneath it all","is a sad reminder","of just who you really are",,
"35JDMRECC4OCPS4UYGJP9YI7YAUGE0","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3B2X28YI3XUF8G1Y2EDFKIVMHKNB68","A3D7OEB9J0KN0C","Submitted","Tue Apr 16 23:04:13 PDT 2019","Tue Apr 16 23:05:09 PDT 2019","Fri Apr 19 23:05:09 PDT 2019","","","","56","0% (0/0)","0% (0/0)","0% (0/0)","UNDERFACE (Every Thing On It)","Underneath my outside face","face","underneath","sniley","Sad","Lies a frown","Smiley child, always smiling","I never want to let them down",,
"35JDMRECC4OCPS4UYGJP9YI7YAUGE0","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3B3WTRP3DCH82M30HSNG3ZJKDGP92O","A3OYZK65C2G39N","Submitted","Wed Apr 17 00:26:42 PDT 2019","Wed Apr 17 00:30:15 PDT 2019","Sat Apr 20 00:30:15 PDT 2019","","","","213","0% (0/0)","0% (0/0)","0% (0/0)","UNDERFACE (Every Thing On It)","Underneath my outside face","face","underneath","sniley","Sad","there is no smiley face","underneath all time and space","there is only sadness to be traced.",,
"3ACRLU860NTGYBWJIURB8NRAIX2BEE","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3AQF3RZ559X5LXDE7GZB38M7WGDF6O","A2DCY0ANVT2BAW","Submitted","Tue Apr 16 17:42:51 PDT 2019","Tue Apr 16 17:43:26 PDT 2019","Fri Apr 19 17:43:26 PDT 2019","","","","35","0% (0/0)","0% (0/0)","0% (0/0)","I WON’T HATCH (Where the Sidewalk Ends)","Oh I am a chicken who lives in an egg,","chicken","egg","hatch","Sad","I do not want to hatch today","I am safe in my little shell","I am not ready to greet the world.",,
"3ACRLU860NTGYBWJIURB8NRAIX2BEE","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3LYA37P8IR2M7VMN4I7GU104IF6KBL","A3D7OEB9J0KN0C","Submitted","Tue Apr 16 22:56:24 PDT 2019","Tue Apr 16 22:57:59 PDT 2019","Fri Apr 19 22:57:59 PDT 2019","","","","95","0% (0/0)","0% (0/0)","0% (0/0)","I WON’T HATCH (Where the Sidewalk Ends)","Oh I am a chicken who lives in an egg,","chicken","egg","hatch","Sad","I wish to see the blue sky overhead","I must hatch, I must hatch","For I'll end up dead",,
"3ACRLU860NTGYBWJIURB8NRAIX2BEE","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3R5F3LQFV3Z1FKAI8OFCN0OGTN3ZOR","A3HT13QMYIQ6Q5","Submitted","Tue Apr 16 23:11:31 PDT 2019","Tue Apr 16 23:13:14 PDT 2019","Fri Apr 19 23:13:14 PDT 2019","","","","103","0% (0/0)","0% (0/0)","0% (0/0)","I WON’T HATCH (Where the Sidewalk Ends)","Oh I am a chicken who lives in an egg,","chicken","egg","hatch","Sad","and it feels like i'm about to hatch,","if i ended up in a lonely world,","i hope I find my match",,
"39XCQ6V3KYJAWGMVB2H0TDZ5R3S65N","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","32Q90QCQ1T0KEYY7E996V96PLCJEKF","A3OYZK65C2G39N","Submitted","Tue Apr 16 22:52:48 PDT 2019","Tue Apr 16 22:56:34 PDT 2019","Fri Apr 19 22:56:34 PDT 2019","","","","226","0% (0/0)","0% (0/0)","0% (0/0)","PUT SOMETHING IN (A Light in the Attic)","Draw a crazy picture,","silly","picture","poem","Happy","Draw me in this crazy room","Color me in yellow,hot pink and neon blue,","Draw me in this crazy room falling crazy in love with you.",,
"39XCQ6V3KYJAWGMVB2H0TDZ5R3S65N","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3ATTHHXXWB32E3Z09BEM6ICJ9FMXIF","A194GFRQZ7GHCK","Submitted","Wed Apr 17 02:09:39 PDT 2019","Wed Apr 17 02:10:31 PDT 2019","Sat Apr 20 02:10:31 PDT 2019","","","","52","0% (0/0)","0% (0/0)","0% (0/0)","PUT SOMETHING IN (A Light in the Attic)","Draw a crazy picture,","silly","picture","poem","Happy","and try to find me in it","Draw by pencil","Colour it with blood",,
"39XCQ6V3KYJAWGMVB2H0TDZ5R3S65N","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3D4CH1LGEB8YHGB7G78553DLNZEG9Y","A3CEO8VV1ZMXY0","Submitted","Wed Apr 17 03:43:46 PDT 2019","Wed Apr 17 03:44:58 PDT 2019","Sat Apr 20 03:44:58 PDT 2019","","","","72","0% (0/0)","0% (0/0)","0% (0/0)","PUT SOMETHING IN (A Light in the Attic)","Draw a crazy picture,","silly","picture","poem","Happy","“Draw a crazy picture,","Write a nutty poem,","Sing a mumble-gumble song,",,
"3Q7TKIAPOTPNJE4VDC5LG85UUFFLDI","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3H7Z272LX8MZVV5F8N1I4LI8OJBLPV","A2NQ3UXMS3KLGH","Submitted","Tue Apr 16 21:27:25 PDT 2019","Tue Apr 16 21:29:06 PDT 2019","Fri Apr 19 21:29:06 PDT 2019","","","","101","0% (0/0)","0% (0/0)","0% (0/0)","YESEES AND NOEES (Every Thing On It)","The Yesees said yes to anything","yesees","noees","thinkforyourselfees","Sad","The Noees said no to nobody","The thinkforyourselfees rarely thought for themselves","and the only ones left were dead",,
"3Q7TKIAPOTPNJE4VDC5LG85UUFFLDI","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3PMBY0YE28IL04V2ELCMFCS6P4NC9F","A1Z3JC2PW0L1NY","Submitted","Tue Apr 16 17:15:16 PDT 2019","Tue Apr 16 17:17:24 PDT 2019","Fri Apr 19 17:17:24 PDT 2019","","","","128","0% (0/0)","0% (0/0)","0% (0/0)","YESEES AND NOEES (Every Thing On It)","The Yesees said yes to anything","yesees","noees","thinkforyourselfees","Sad","and the nosees said no to it all","so you should just think for your selfees","or else there will be a big fall",,
