title,first_line,keyword1,keyword2,keyword3,mood,crowdsourced_poem
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,"It's hot from the griddle.<br>With syrup like lake,<br>Poured in the middle."
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,In my sleep I rolled the snowball<br>And stuffed it down my pajamas<br>Because I didn't want to throw it at the wall.
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,To play with all day<br>I put it in my bed to sleep<br>But all I got was a puddle
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,I made myself a snowball.<br>It's pajamas were white as snow.<br>I let it sleep in the snow all day.
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,"the beauty of forgetting<br>funny that it's about something so basic<br>socks, how ironic you became a beautiful forgotful memory."
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,that were made for Christmas.<br>Patterned with Hollyhocks<br>That were beautiful and listless.
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,"yesturday I remember i forgot,<br>I remember thinking of beautiful you,<br>and how you had forgotten your socks too!"
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,Sniley underneath it all<br>is a sad reminder<br>of just who you really are
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,"Lies a frown<br>Smiley child, always smiling<br>I never want to let them down"
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,there is no smiley face<br>underneath all time and space<br>there is only sadness to be traced.
I WON’T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,I do not want to hatch today<br>I am safe in my little shell<br>I am not ready to greet the world.
I WON’T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,"I wish to see the blue sky overhead<br>I must hatch, I must hatch<br>For I'll end up dead"
I WON’T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,"and it feels like i'm about to hatch,<br>if i ended up in a lonely world,<br>i hope I find my match"
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,"Draw me in this crazy room<br>Color me in yellow,hot pink and neon blue,<br>Draw me in this crazy room falling crazy in love with you."
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,and try to find me in it<br>Draw by pencil<br>Colour it with blood
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,"“Draw a crazy picture,<br>Write a nutty poem,<br>Sing a mumble-gumble song,"
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,The Noees said no to nobody<br>The thinkforyourselfees rarely thought for themselves<br>and the only ones left were dead
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,and the nosees said no to it all<br>so you should just think for your selfees<br>or else there will be a big fall
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,The Noees said no to everything<br>The Thinkforyourselfees refused to do anything<br>So the Yesses were left with no one to do anything with.
HUG O’WAR (Where the Sidewalk Ends),I will not play tug o’ war.,giggles,wins,grins,Happy,It would be fun if he wins<br>He pulls the rope while he grins<br>It is a great day to be outdoors.
HUG O’WAR (Where the Sidewalk Ends),I will not play tug o’ war.,giggles,wins,grins,Happy,"Because every alway giggles<br>It never matters who wins,<br>There will be grins and sniggles."
HUG O’WAR (Where the Sidewalk Ends),I will not play tug o’ war.,giggles,wins,grins,Happy,"i always fall,im always sore,<br>she giggles and spins ,again and again<br>the big kid always wins and i just like to spin."
RIDICULOUS ROSE (Where the Sidewalk Ends),"Her mama said, “Don’t eat with your fingers.”",toes,fingers,rose,Funny,buttterflies dont but bees have stingers<br>if you must pick a rose<br>then you must not use your toes.
RIDICULOUS ROSE (Where the Sidewalk Ends),"Her mama said, “Don’t eat with your fingers.”",toes,fingers,rose,Funny,"Because now the smell from his hand still lingers<br>Nonetheless, he responded, ""At least I'm not eating with my toes""<br>""As they do still smell like a rose"""
RIDICULOUS ROSE (Where the Sidewalk Ends),"Her mama said, “Don’t eat with your fingers.”",toes,fingers,rose,Funny,"""Would you rather I eat with my toes?"" She said with a laugh<br>""You are so silly"" said mama in reply<br>""Or how about this nice red rose?"" She said pointing to the vase on the table"
MONSTERS I’VE MET (A Light in the Attic),"I met a ghost, but he didn’t want my head,",ghost,devil,vampire,Funny,He is keep disturbing me<br>I wanted to hit him<br>But He loves me so much
MONSTERS I’VE MET (A Light in the Attic),"I met a ghost, but he didn’t want my head,",ghost,devil,vampire,Funny,"He is not a ghost to other ghost,<br>But he thinks he's the devil,<br>And the vampire suck to eat his blood but the vampire realized he's just a ghost too."
MONSTERS I’VE MET (A Light in the Attic),"I met a ghost, but he didn’t want my head,",ghost,devil,vampire,Funny,"He want devil in my head<br>and vampire in my mind<br>Happy to see such a funny ghost,who didn't want my head"
EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird",bird,worm,early,Funny,An early one sees it all.<br>Like a worm in a berm<br>Of a parking lot at a mall.
EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird",bird,worm,early,Funny,Wake up at the crack of dawn.<br>Do not hear another word<br>Go outside and eat worms from the lawn.
EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird",bird,worm,early,Funny,"the early bird gets the worm, only if the worm is a ealy bird<br>the early worms, gets to see a bird devour him<br>why are birds and worms waking up early?"
JAKE SAYS (Every Thing On It),"Yes, I'm adopted.",adopted,kids,chose,Happy,This I chose to say.<br>With all kids co-opted.<br>May share in my claim.
JAKE SAYS (Every Thing On It),"Yes, I'm adopted.",adopted,kids,chose,Happy,Different from the other kids<br>My parents chose me<br>To live happily ever after
JAKE SAYS (Every Thing On It),"Yes, I'm adopted.",adopted,kids,chose,Happy,I may me adopted.<br>But I'm no different from other kids.<br>I know God chose me and accepted me as who I am.
COLORS (Where the Sidewalk Ends),My skin is kind of sort of brownish,skin,hair,color,Neutral,my hair is curly sort of clown-ish<br>i wish my skin was orange or yellow<br>like a clown i would be  funny-ish  type  fellow.
COLORS (Where the Sidewalk Ends),My skin is kind of sort of brownish,skin,hair,color,Neutral,exact opposite of my hair<br>the thing about color is that any one is fair<br>and life goes on
COLORS (Where the Sidewalk Ends),My skin is kind of sort of brownish,skin,hair,color,Neutral,"My hair is brownish too.<br>Brown is not a color I like,<br>It reminds me of a shoe."
MAGIC (Where the Sidewalk Ends),"Sandra’s seen a leprechaun,",magic,troll,leprechaun,Happy,"who is named john,<br>the leprechaun isn't a troll,<br>but it does know how to roll"
MAGIC (Where the Sidewalk Ends),"Sandra’s seen a leprechaun,",magic,troll,leprechaun,Happy,"Sandra’sseenaleprechaun<br>Eddietouchedatroll,<br>Lauriedancedwithwitchesonce,"
MAGIC (Where the Sidewalk Ends),"Sandra’s seen a leprechaun,",magic,troll,leprechaun,Happy,"I tiny little troll<br>His magic, a story to be told<br>For Sandra's seen a leprechaun"
LITTLE PIG’S TREAT (Falling Up),"Said the pig to his pop,",pig,candy,pop,Neutral,"""It's okay little pop""<br>Here is a candy<br>Smile and be happy, said pig."
LITTLE PIG’S TREAT (Falling Up),"Said the pig to his pop,",pig,candy,pop,Neutral,"""Pop, I want some candy!""<br>Said the pop to his pig,<br>""Well, ain't that just dandy."""
LITTLE PIG’S TREAT (Falling Up),"Said the pig to his pop,",pig,candy,pop,Neutral,"put down that mop;<br>Pick up your shovel,<br>Get me  some more slop."
FALLING UP (Falling Up),I tripped on my shoelace,tripped,shoelace,sick,Neutral,and fell to the floor<br>I felt sick to my stomach<br>as she walked through the door
FALLING UP (Falling Up),I tripped on my shoelace,tripped,shoelace,sick,Neutral,I feel clumsy<br>I feel sick.<br>I will not do it again
FALLING UP (Falling Up),I tripped on my shoelace,tripped,shoelace,sick,Neutral,a sick little smile on my  sick face<br>I tripped right  on outta that place<br>I tripped and floated right out to space
FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,",little,big,fat,Funny,the big fish<br>has a little dish<br>and gets as fat as he wish
FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,",little,big,fat,Funny,"The little fish eats the tiny fish,<br>The big snake eats the huge snake,<br>The fat will eat the tiny."
FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,",little,big,fat,Funny,The tiny fish swims in the little fish's belly.<br>The little fish is now a fat fish.<br>The little fish is no longer little.
OURCHESTRA (Where the Sidewalk Ends),"So you haven’t got a drum, just beat your belly.",music,belly,instruments,Happy,"Stay in rhythm, don't move too late or too early<br>let's do an acapella, no instruments<br>or better yet, let's make sweet music with brass instruments"
OURCHESTRA (Where the Sidewalk Ends),"So you haven’t got a drum, just beat your belly.",music,belly,instruments,Happy,"Wiggle to the music, just like jelly.<br>With instruments, or without,<br>Join right in, give a shout."
OURCHESTRA (Where the Sidewalk Ends),"So you haven’t got a drum, just beat your belly.",music,belly,instruments,Happy,"Your body is an instrument<br>Making your own sound is so sexy<br>Just do your own thing, your choices are infinate"
MORGAN’S CURSE (Falling Up),"Followin’ the trail on the old treasure map,",curse,pirate,treasure,Sad,"Followin’ the trail on the old treasure map,<br>I came to the spot that said “Dig right here.”<br>And four feet down my spade struck wood"
MORGAN’S CURSE (Falling Up),"Followin’ the trail on the old treasure map,",curse,pirate,treasure,Sad,Cursin' every mistake I make.<br>Like a pirate whose been in the sap.<br>Hunting treasure before I nap.
MORGAN’S CURSE (Falling Up),"Followin’ the trail on the old treasure map,",curse,pirate,treasure,Sad,"Being a pirate is its own curse<br>Theres no treasure, except the curse at the end<br>Pirate is a synonym of cursed treasure"
THE EDGE OF THE WORLD (Where the Sidewalk Ends),Columbus said the world is round?,world,edge,flat,Happy,other's wondered how this to be found.<br>some think the world is flat.<br>wondering when we will come to the edge of that.
THE EDGE OF THE WORLD (Where the Sidewalk Ends),Columbus said the world is round?,world,edge,flat,Happy,"it has no edge its not like that<br>its like a ball it is not flat<br>the world is  round like a bouncy ball,run and now tell them all!"
THE EDGE OF THE WORLD (Where the Sidewalk Ends),Columbus said the world is round?,world,edge,flat,Happy,"But peopple thought is was flat.<br>To believe him you're a clown,<br>So off he went - and that was that!"
THE PLANET OF MARS (Where the Sidewalk Ends),On the planet of Mars,mars,laces,faces,Funny,There are many faces<br>And on the planet of mars<br>You will find shoe laces
THE PLANET OF MARS (Where the Sidewalk Ends),On the planet of Mars,mars,laces,faces,Funny,a martian tripped over his laces<br>on the planet of mars<br>and brightened the astronauts' faces
THE PLANET OF MARS (Where the Sidewalk Ends),On the planet of Mars,mars,laces,faces,Funny,Live men who wore shoes without laces<br>They had heads without faces<br>These curious folks who live on Mars
IT’S DARK IN HERE (Where the Sidewalk Ends),I am writing these poems,lion,inside,dark,Funny,to talk about a lion.<br>Inside the womb is Jonah. It was dark.<br>Oh I remember Jonah was stuck inside a shark's not a lion's
IT’S DARK IN HERE (Where the Sidewalk Ends),I am writing these poems,lion,inside,dark,Funny,"inside a dark room,<br>i hope this poem is funny<br>because the lion is in a gloom"
IT’S DARK IN HERE (Where the Sidewalk Ends),I am writing these poems,lion,inside,dark,Funny,With my wee little lion<br>We live in a box where it is sometimes dark<br>Me and my wee little lion
COMPLAININ’ JACK (Falling Up),This morning my old jack-in-the-box,jack-in-the-box,close,lid,Funny,Went pop goes the weasel.<br>With  a bang on the close<br>The lid flew and hit the easel.
COMPLAININ’ JACK (Falling Up),This morning my old jack-in-the-box,jack-in-the-box,close,lid,Funny,would not close so it could pop<br>it waved around and looked at me<br>its lid was broke and  it was free.
COMPLAININ’ JACK (Falling Up),This morning my old jack-in-the-box,jack-in-the-box,close,lid,Funny,"Lost its lid, taken by a fox<br>I was sad, unable to close the box<br>But instead of crying, I went to see the Boston Red Sox"
STONE AIRPLANE (Falling Up),I made an airplane out of stone…,airplane,stone,home,Funny,It was so heavy it could never fly home<br>Though I tried real hard<br>It was never meant to roam
STONE AIRPLANE (Falling Up),I made an airplane out of stone…,airplane,stone,home,Funny,It would not fly<br>No matter how hard I try<br>Si I just keep it at home
STONE AIRPLANE (Falling Up),I made an airplane out of stone…,airplane,stone,home,Funny,I flew an airplane into my home<br>I thew a stone at my home<br>Now my home is a stone
INVENTION (Where the Sidewalk Ends),"I’ve done it, I’ve done it!",done,i've,it,Funny,Now don't ask again<br>I've much to do<br>Before I perfect my tan
INVENTION (Where the Sidewalk Ends),"I’ve done it, I’ve done it!",done,i've,it,Funny,I've left the bathroom with pride and glow.<br>I've done it I've done it!<br>With toilet paper in in stride and toe.
INVENTION (Where the Sidewalk Ends),"I’ve done it, I’ve done it!",done,i've,it,Funny,I passed the test!<br>That's one done now<br>but what about the rest?
WHO (Where the Sidewalk Ends),Who can kick a football,might,fought,policemen,Funny,Who will fought in match<br>If policemen was on road<br>It will be funny to kick him like ball
WHO (Where the Sidewalk Ends),Who can kick a football,might,fought,policemen,Funny,"someone who fought crime?<br>maybe policemen might?<br>they're so strong, they're all gonna get it right!"
WHO (Where the Sidewalk Ends),Who can kick a football,might,fought,policemen,Funny,They might be in jail<br>They fought over the football<br>The policeman came and played with them
THE FOURTH (Where the Sidewalk Ends),Oh,bash,bang,fourth,Funny,bash the dumb donkey<br>and let's bang<br>on the fourth of july as now is the time to show our balls
THE FOURTH (Where the Sidewalk Ends),Oh,bash,bang,fourth,Funny,"its my birthday ,its the fourth<br>i bash and bang on your front door<br>oh ,oh oh,you say i forgot it was your birthday."
THE FOURTH (Where the Sidewalk Ends),Oh,bash,bang,fourth,Funny,"What a bash we had<br>With fireworks that went bang.<br>Sweet, Fourth of July."
I MUST REMEMBER (Where the Sidewalk Ends),I must remember…,dunce,must,remember,Funny,but im a dunce<br>a dunce i am<br>remember i must.
I MUST REMEMBER (Where the Sidewalk Ends),I must remember…,dunce,must,remember,Funny,Lily performed a dunce dance<br>She must do it like a yoga<br>But she remembered that she should dance a dunce dance
I MUST REMEMBER (Where the Sidewalk Ends),I must remember…,dunce,must,remember,Funny,"to have lots of fun<br>even though I am a dunce,<br>I should enjoy the sun"
SCALE (Falling Up),"If I could only see the scale,",scale,pounds,weight,Sad,"If I could only see the scale,<br>I'm sure that it would state<br>That I've lost ounces...maybe pounds"
SCALE (Falling Up),"If I could only see the scale,",scale,pounds,weight,Sad,"I would see my pounds,<br>which show my weights,<br>what makes me sad."
SCALE (Falling Up),"If I could only see the scale,",scale,pounds,weight,Sad,I would not feel like such  a whale<br>IM guessing me in at  300 pounds and eight<br>but only the scale knows my true weight.
THE ACROBATS (Where the Sidewalk Ends),I’ll swing,trapeze,sneeze,swing,Funny,like in a trapeze.<br>While I am sneezing.<br>I'll swing.
THE ACROBATS (Where the Sidewalk Ends),I’ll swing,trapeze,sneeze,swing,Funny,"and catch you on the trapeze<br>i wont drop you ,oh no<br>this feather boa made me sneeze!"
THE ACROBATS (Where the Sidewalk Ends),I’ll swing,trapeze,sneeze,swing,Funny,the trapeze arouud the bed<br>so you won't be fed<br>when you sneeze all over my head
A LIGHT IN THE ATTIC (A Light in the Attic),There’s a light on in the attic.,attic,dark,inside,Neutral,"It's dark outside,<br>but the shining inside the house<br>creates balance in my world."
A LIGHT IN THE ATTIC (A Light in the Attic),There’s a light on in the attic.,attic,dark,inside,Neutral,Now the dark has company<br>Inside the attic are shadows<br>A marriage of dark and light
A LIGHT IN THE ATTIC (A Light in the Attic),There’s a light on in the attic.,attic,dark,inside,Neutral,"its not dark but do not panic<br>its probably just that ghost,<br>who likes inside our attic the most!"
THE WORST (Where the Sidewalk Ends),"When singing songs of scariness,",ferocious,beast,scariness,Funny,"don't be scared of the beast,<br>even though its ferocious,<br>it loves a vegetable feast"
THE WORST (Where the Sidewalk Ends),"When singing songs of scariness,",ferocious,beast,scariness,Funny,"A freaky beast will appear.<br>The scariness that I will feel,<br>Will make me run just like deer."
THE WORST (Where the Sidewalk Ends),"When singing songs of scariness,",ferocious,beast,scariness,Funny,Do not forget the ferocious beast<br>He lurks in rooms of emptiness<br>and eats a pantry feast
CRYSTAL BALL (Falling Up),Come see your life in my crystal glass—,crystal,past,lunch,Funny,Come see your life in my crystal glass—<br>Twenty-five cents is all you pay.<br>Let me look into your past—
CRYSTAL BALL (Falling Up),Come see your life in my crystal glass—,crystal,past,lunch,Funny,"as i have seen you in the past.<br>eating lunch with friends, having a good time.<br>as you all rap and rhyme, oh what a time."
CRYSTAL BALL (Falling Up),Come see your life in my crystal glass—,crystal,past,lunch,Funny,IT IS LIKE A BRICK<br>NOT TRANLUCENT<br>AND HEAVY
HOW NOT TO HAVE TO DRY THE DISHES (Falling Up),If you have to dry the dishes,drop,dishes,chore,Funny,"don't think of it as a chore,<br>just drop it in the dishwasaher<br>and it'll keep drying it some more"
HOW NOT TO HAVE TO DRY THE DISHES (Falling Up),If you have to dry the dishes,drop,dishes,chore,Funny,"don't put a mushy food in it<br>afterall, you will let it dry again<br>Oh these chores make me sick"
HOW NOT TO HAVE TO DRY THE DISHES (Falling Up),If you have to dry the dishes,drop,dishes,chore,Funny,make sure not a one do you drop<br>I know it's always a chore for you<br>but please don't use the mop!
WARNING (Where the Sidewalk Ends),Inside everybody’s nose,sharp-toothed,bite,nail,Neutral,It crushes and grinds food<br>Up and down grinding and crushing<br>It's crystal clear accessory
WARNING (Where the Sidewalk Ends),Inside everybody’s nose,sharp-toothed,bite,nail,Neutral,"theres a mouth underneath,<br>inside there lies a tool to bite your nail<br>the sharp-toothed teeth never fail"
WARNING (Where the Sidewalk Ends),Inside everybody’s nose,sharp-toothed,bite,nail,Neutral,sometimes a green booger grows<br>everyone has a sharp tooth bite<br>with tooth and nails  sometimes we fight
CAPTAIN HOOK (Where the Sidewalk Ends),Captain Hook must remember,hook,captain,careful,Funny,"santa comes every december,<br>of captain hooks antics  good little boys  be aware<br>be in bed be very careful   when santa comes you best be there!"
CAPTAIN HOOK (Where the Sidewalk Ends),Captain Hook must remember,hook,captain,careful,Funny,Captain Hook must remember<br>Not to scratch his toes.<br>Captain Hook must watch out
CAPTAIN HOOK (Where the Sidewalk Ends),Captain Hook must remember,hook,captain,careful,Funny,"that its almost December,<br>he has to be careful not to slide,<br>but his hook makes up for a nice ride"
MY ZOOOTCH (Every Thing On It),"I never have nightmares,",nightmares,never,have,Funny,"Never as I sleep.<br>I do have dreams tho,<br>that cause me to peep."
MY ZOOOTCH (Every Thing On It),"I never have nightmares,",nightmares,never,have,Funny,Though some folks have nightmares every night.<br>Instead I have nightstallions<br>And that makes things all right.
MY ZOOOTCH (Every Thing On It),"I never have nightmares,",nightmares,never,have,Funny,"Nightmares I have never had,<br>laughing and playing ,daydreaming all day<br>at night , too tired to chase scary things  or  run away."
NOPE (Falling Up),I put a piece of cantaloupe,cantaloupe,microscope,nope,Funny,Where you might ask?<br>It was no small feat<br>I shoved it into the microscope real neat!
NOPE (Falling Up),I put a piece of cantaloupe,cantaloupe,microscope,nope,Funny,"I put a piece of cantaloupe<br>Underneath the microscope.<br>I saw a million strange things sleepin’,"
NOPE (Falling Up),I put a piece of cantaloupe,cantaloupe,microscope,nope,Funny,"I put a piece of cantaloupe<br>Inside the massive microscope<br>I said ""nope"", this is dope!"
MY RULES (Where the Sidewalk Ends),"If you want to marry me, here’s what you’ll have to do:",marry,rules,troubled,Funny,"I have a few rules just for you<br>Now don't be afraid, it's really just one<br>Whenever I'm troubled, don't make it doubled"
MY RULES (Where the Sidewalk Ends),"If you want to marry me, here’s what you’ll have to do:",marry,rules,troubled,Funny,Put my troubled past behind you<br>Let me make the rules<br>Cause I don't marry no fools
MY RULES (Where the Sidewalk Ends),"If you want to marry me, here’s what you’ll have to do:",marry,rules,troubled,Funny,"No rulesif you love me too<br>If I troubled you, punish me too<br>Make a life funny, in presence of you"
DIVING BOARD (Falling Up),You’ve been up on that diving board,diving,board,dive,Funny,Bouncing so very high.<br>You've now left on the diving board.<br>Your speedo before the dive.
DIVING BOARD (Falling Up),You’ve been up on that diving board,diving,board,dive,Funny,"Little man, little man<br>it's time to come down<br>Stan, Stan, Stan"
DIVING BOARD (Falling Up),You’ve been up on that diving board,diving,board,dive,Funny,"Slowing looking down, you take a dive<br>You fall into a pool of jello<br>Just thankful to be alive."
HAPPY ENDING? (Every Thing On It),There are no happy endings.,endings,start,happy,Neutral,We can only hope to have a happy start<br>and many happy journeys<br>those are more important than the endings.
HAPPY ENDING? (Every Thing On It),There are no happy endings.,endings,start,happy,Neutral,so where should I start?<br>He walked into my life<br>and broke my heart.
HAPPY ENDING? (Every Thing On It),There are no happy endings.,endings,start,happy,Neutral,is a way to look at it<br>remember to start smiling<br>or you'll feel like you're in a pit
YEARS FROM NOW (Every Thing On It),Although I cannot see your face,smile,face,laughing,Happy,But I can feel that you staring<br>I know you are far away<br>But I miss you more than ever
YEARS FROM NOW (Every Thing On It),Although I cannot see your face,smile,face,laughing,Happy,my memory transcends all space<br>I still hear your goofy laughing<br>a huge smile on your always happy face
YEARS FROM NOW (Every Thing On It),Although I cannot see your face,smile,face,laughing,Happy,I still imagine your clown smile<br>I know your not laughing at all<br>But your looks makes me laugh
