title,first_line,keyword1,keyword2,keyword3,mood,line1,line2,line3
RIDICULOUS ROSE (Where the Sidewalk Ends),"Her mama said, “Don’t eat with your fingers.”",toes,fingers,rose,Funny,"Discolored from berries, they are now colored rose","But if not with my fingers, the answer are ringers",Because now i can simply eat with my toes.
RIDICULOUS ROSE (Where the Sidewalk Ends),"Her mama said, “Don’t eat with your fingers.”",toes,fingers,rose,Funny,"She replied ""I can't eat with my toes.""","Mama said, ""You'll find garlic lingers","And you no longer smell like a rose."""
RIDICULOUS ROSE (Where the Sidewalk Ends),"Her mama said, “Don’t eat with your fingers.”",toes,fingers,rose,Funny,her mama said don't eat with your toes,"or one day they will end up red, like a very funny singer",that or a freshly planted rose
MONSTERS I’VE MET (A Light in the Attic),"I met a ghost, but he didn’t want my head,",ghost,devil,vampire,Funny,"I met the devil, but even he didn't want my soul","I met a vampire, but my blood was full of lead",And when I met the werewolf he laughed through his howl
MONSTERS I’VE MET (A Light in the Attic),"I met a ghost, but he didn’t want my head,",ghost,devil,vampire,Funny,"I met a vampire, but he didn't want my neck",I met a devil all dressed in red.,They all wanted my candy. What the HECK!
MONSTERS I’VE MET (A Light in the Attic),"I met a ghost, but he didn’t want my head,",ghost,devil,vampire,Funny,He only wanted to know the way to Denver.,"I met a devil, but he didn't want my soul",He only wanted to borrow my bike awhile
EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird",bird,worm,early,Funny,"if a worm, it is best to sleep in I heard",If you wake really early.,You may be taken by the squirrely.
EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird",bird,worm,early,Funny,If you're a worm watch out in the morning!,"The birds will eat you, they keep their word",Stay underground because you will not get a warning.
EARLY BIRD (Where the Sidewalk Ends),"Oh, if you’re a bird, be an early bird",bird,worm,early,Funny,And catch the worm for your breakfast plate.,"If you’re a bird, be an early early bird","But if you’re a worm, sleep late"
JAKE SAYS (Every Thing On It),"Yes, I'm adopted.",adopted,kids,chose,Happy,I like to meet new girls and boys,I didnt choose to be opted,but Im happy i can see new faces and toys
JAKE SAYS (Every Thing On It),"Yes, I'm adopted.",adopted,kids,chose,Happy,A second chance for kids like me.,A new family I've co-opted,And now I am very happy.
JAKE SAYS (Every Thing On It),"Yes, I'm adopted.",adopted,kids,chose,Happy,Many other kids are too.,"Yes, I'm adopted, my family chose me specifically,",Just because they wanted to.
COLORS (Where the Sidewalk Ends),My skin is kind of sort of brownish,skin,hair,color,Neutral,My hair is short of the legs .,Color blue is my eyes .,White skin is my body .
COLORS (Where the Sidewalk Ends),My skin is kind of sort of brownish,skin,hair,color,Neutral,My springy hair is red and curly,But I'm saved from looking clownish,"Because my teeth are lovely, white and pearly"
COLORS (Where the Sidewalk Ends),My skin is kind of sort of brownish,skin,hair,color,Neutral,my skin is too,the colour of my hair is clownish,even my friends call me winnie the pooh
MAGIC (Where the Sidewalk Ends),"Sandra’s seen a leprechaun,",magic,troll,leprechaun,Happy,she loves to see magic,she then saw a troll with a horn,and she looked erratic
MAGIC (Where the Sidewalk Ends),"Sandra’s seen a leprechaun,",magic,troll,leprechaun,Happy,it was short and fat,hey little girl have you seen my pot of gold,o
MAGIC (Where the Sidewalk Ends),"Sandra’s seen a leprechaun,",magic,troll,leprechaun,Happy,And she's also seen a troll,She has a magic wand,She's on a roll!
LITTLE PIG’S TREAT (Falling Up),"Said the pig to his pop,",pig,candy,pop,Neutral,Can I have some candy please?,Said the Pop to his pig,"Fine and dandy, if you'll share it with me."
LITTLE PIG’S TREAT (Falling Up),"Said the pig to his pop,",pig,candy,pop,Neutral,I want to get candy,Let's go to the shop,And that will be handy
LITTLE PIG’S TREAT (Falling Up),"Said the pig to his pop,",pig,candy,pop,Neutral,There's the candy shop,"Oh, please let's go inside",And I promise I won't
FALLING UP (Falling Up),I tripped on my shoelace,tripped,shoelace,sick,Neutral,So everyone made fun.,Now I have pain in my face.,but it's over and done.
FALLING UP (Falling Up),I tripped on my shoelace,tripped,shoelace,sick,Neutral,and fell on my face,"The street is all potholes,",I'm sick of this place
FALLING UP (Falling Up),I tripped on my shoelace,tripped,shoelace,sick,Neutral,and the aglet ripped,i need to pack this suitcase,before I get sick
FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,",little,big,fat,Funny,the big fish eats the little fish,so only the biggest fish get fat,do you know any folks like that?
FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,",little,big,fat,Funny,The big one eats the other two,"Now the big fish is fat,",And grew and grew and grew.
FISH? (Where the Sidewalk Ends),"The little fish eats the tiny fish,",little,big,fat,Funny,the tiny fish gets so sad,The big fish eat the little fish,So seafood is very bad.
OURCHESTRA (Where the Sidewalk Ends),"So you haven’t got a drum, just beat your belly.",music,belly,instruments,Happy,Instruments Santa didn't bring,Jiggle your belly like a bowl full of jelly,"Music, joy, laughter, and sing"
OURCHESTRA (Where the Sidewalk Ends),"So you haven’t got a drum, just beat your belly.",music,belly,instruments,Happy,So I haven't got a horn-I'll play my nose,So we haven't any cymbals-,We'll just slap our hands together
OURCHESTRA (Where the Sidewalk Ends),"So you haven’t got a drum, just beat your belly.",music,belly,instruments,Happy,the beat of the music needs to be good,big belly instrument is getting recognition on the telly,just like it should
MORGAN’S CURSE (Falling Up),"Followin’ the trail on the old treasure map,",curse,pirate,treasure,Sad,Whose curse it though?,The pirate lost in the swamp,Or is it the treasure fulfilling its woe!
MORGAN’S CURSE (Falling Up),"Followin’ the trail on the old treasure map,",curse,pirate,treasure,Sad,Looking for treasures gold,Death you found in a dangerous trap,Never a chance to grow old.
MORGAN’S CURSE (Falling Up),"Followin’ the trail on the old treasure map,",curse,pirate,treasure,Sad,Knowing I can't avoid the curse and I cry.,I wish I never sat in that pirate lap.,Hopefully I can find the treasure before I die.
THE EDGE OF THE WORLD (Where the Sidewalk Ends),Columbus said the world is round?,world,edge,flat,Happy,Not flat as some would say,Sailed o'er the edge without a sound,Not seen no more that day
THE EDGE OF THE WORLD (Where the Sidewalk Ends),Columbus said the world is round?,world,edge,flat,Happy,While others believed it was flat,He went to the world edge and what he found,Was new people and a new world where he could talk and chat
THE EDGE OF THE WORLD (Where the Sidewalk Ends),Columbus said the world is round?,world,edge,flat,Happy,World is happy every day .,They eat bread flat in restaurant .,The edge for restaurant is close to my house .
THE PLANET OF MARS (Where the Sidewalk Ends),On the planet of Mars,mars,laces,faces,Funny,No one ties their laces,One the planet of Mars,We all fall on our faces
THE PLANET OF MARS (Where the Sidewalk Ends),On the planet of Mars,mars,laces,faces,Funny,I lost my laces,In the middle of all these cars,I can see so many faces
THE PLANET OF MARS (Where the Sidewalk Ends),On the planet of Mars,mars,laces,faces,Funny,They have dark green faces,They hang out in bars,And eat strawberry laces
IT’S DARK IN HERE (Where the Sidewalk Ends),I am writing these poems,lion,inside,dark,Funny,"they've been inside my head,","I know that the lion roams,",in the dark and goes to bed.
IT’S DARK IN HERE (Where the Sidewalk Ends),I am writing these poems,lion,inside,dark,Funny,"From inside a lion,",And it's rather dark in here.,So please excuse the handwriting
IT’S DARK IN HERE (Where the Sidewalk Ends),I am writing these poems,lion,inside,dark,Funny,For a lion and a lark,Then I'm gonna show 'ems,Inside where it's dark!
COMPLAININ’ JACK (Falling Up),This morning my old jack-in-the-box,jack-in-the-box,close,lid,Funny,Was close to flipping it’s lid,I cranked him and cranked him,Until he thought he was on acid
COMPLAININ’ JACK (Falling Up),This morning my old jack-in-the-box,jack-in-the-box,close,lid,Funny,Refused to open and close,The old lid stuck half way up,Barely missing his nose.
COMPLAININ’ JACK (Falling Up),This morning my old jack-in-the-box,jack-in-the-box,close,lid,Funny,Popped out—and wouldn't get back-in-the-box.,"He cried, ""Hey, there's a tack-in-the-box",And it's cutting me through and through
STONE AIRPLANE (Falling Up),I made an airplane out of stone…,airplane,stone,home,Funny,I threw it to fly away from my home,But it came back and hit me in the dome,Now I sit feeling stupid and alone
STONE AIRPLANE (Falling Up),I made an airplane out of stone…,airplane,stone,home,Funny,"And stone, it could not fly",It made a lovely paperweight,"Back home, again I'll try."
STONE AIRPLANE (Falling Up),I made an airplane out of stone…,airplane,stone,home,Funny,I used a chisel,and tried not to break a bone,so my mom would be happy at home.
INVENTION (Where the Sidewalk Ends),"I’ve done it, I’ve done it!",done,i've,it,Funny,"I’ve done it, I’ve done it!","I’ve done it, I’ve done it!","I’ve done it, I’ve done it!"
INVENTION (Where the Sidewalk Ends),"I’ve done it, I’ve done it!",done,i've,it,Funny,"If you want it ,you can have it .",You can be done with it .,"But be done ,I've done it ."
INVENTION (Where the Sidewalk Ends),"I’ve done it, I’ve done it!",done,i've,it,Funny,I've caught a ball,I still can't believe it,I did it with paws
WHO (Where the Sidewalk Ends),Who can kick a football,might,fought,policemen,Funny,"We argued- I might, he might or maybe she","The policemen spotted us, there outside the mall",We picked the ball and quietly handed over the fee
WHO (Where the Sidewalk Ends),Who can kick a football,might,fought,policemen,Funny,the player can kick a  football,a football player can kick a football,a man can kick a football
WHO (Where the Sidewalk Ends),Who can kick a football,might,fought,policemen,Funny,Who might See the Football,Policeman Fought Him,Who can kick a football towards Him.
THE FOURTH (Where the Sidewalk Ends),Oh,bash,bang,fourth,Funny,We went to a bash on the Fourth of July,"Fireworks above us, what a show!","Celebrate America, I know why!"
THE FOURTH (Where the Sidewalk Ends),Oh,bash,bang,fourth,Funny,there was a bash on the fourth of july,durng that bash there was a bang,and it all happened because of a fly
THE FOURTH (Where the Sidewalk Ends),Oh,bash,bang,fourth,Funny,I thought I heard a -BANG-,Who would have thought that would blow?,Oh no - here it goes a-BLAM!
I MUST REMEMBER (Where the Sidewalk Ends),I must remember…,dunce,must,remember,Funny,i must really remember for once,i must remember for the whole of december,or else Jimmy will call me a dunce
I MUST REMEMBER (Where the Sidewalk Ends),I must remember…,dunce,must,remember,Funny,The dance I learned once,I think it was September,And I moved like a dunce.
I MUST REMEMBER (Where the Sidewalk Ends),I must remember…,dunce,must,remember,Funny,You take in all around you,"Colours, taste and smell",Before it fades like a dying ember
SCALE (Falling Up),"If I could only see the scale,",scale,pounds,weight,Sad,after feeling the weight of my body,watch the pounds fall like hail,then jeff might truly be sorry
SCALE (Falling Up),"If I could only see the scale,",scale,pounds,weight,Sad,"A testament to my lost weight,","All I have done is try and fail,",How much longer must I wait?
SCALE (Falling Up),"If I could only see the scale,",scale,pounds,weight,Sad,That show my pounds in weight,Instead I see a beach-ed whale,With too much on her plate
THE ACROBATS (Where the Sidewalk Ends),I’ll swing,trapeze,sneeze,swing,Funny,on the trapeze,Machine swing (sounds like sewing) -,make sure not to sneeze
THE ACROBATS (Where the Sidewalk Ends),I’ll swing,trapeze,sneeze,swing,Funny,On the trapeze,I'll swing,Until I sneeze.
THE ACROBATS (Where the Sidewalk Ends),I’ll swing,trapeze,sneeze,swing,Funny,From a trapeze,For a fling,And hope I don't sneeze!
A LIGHT IN THE ATTIC (A Light in the Attic),There’s a light on in the attic.,attic,dark,inside,Neutral,Neutral,Neutral,Neutral
A LIGHT IN THE ATTIC (A Light in the Attic),There’s a light on in the attic.,attic,dark,inside,Neutral,where the dark shadows cast sparkles into the abyss,inside the doves take flight and the squirrel's delight with behaviour that is dramatic,if only to mark the time between the morning's first dew and the evenings short but sweet indigo kiss
A LIGHT IN THE ATTIC (A Light in the Attic),There’s a light on in the attic.,attic,dark,inside,Neutral,I turn it on when it's dark.,Most cars are static,inside a car park.
THE WORST (Where the Sidewalk Ends),"When singing songs of scariness,",ferocious,beast,scariness,Funny,"And fear of the beast is real,","Just prance about in your underwear,",And the ferocious beast will kneel.
THE WORST (Where the Sidewalk Ends),"When singing songs of scariness,",ferocious,beast,scariness,Funny,"Of bloodiness and hairyness,",I feel obligated to remind you,Of the most ferocious beast of all
THE WORST (Where the Sidewalk Ends),"When singing songs of scariness,",ferocious,beast,scariness,Funny,With ferocious words awhirl.,"Beast and the goblin scariness,",Around us all will twirl.
CRYSTAL BALL (Falling Up),Come see your life in my crystal glass—,crystal,past,lunch,Funny,There's something here I can't get past,Your picnic lunch on the grass,Was so amazingly vast.
CRYSTAL BALL (Falling Up),Come see your life in my crystal glass—,crystal,past,lunch,Funny,Come to have lunch and where your dress .,Dreams your life in the crystal glass.,Past your dreams where you have lunch .
CRYSTAL BALL (Falling Up),Come see your life in my crystal glass—,crystal,past,lunch,Funny,Look deep within and see the past.,and then it hits you like a  punch.,Oh my lord I forgot my lunch.
HOW NOT TO HAVE TO DRY THE DISHES (Falling Up),If you have to dry the dishes,drop,dishes,chore,Funny,you have to know the chore,and if you drop the dishes,you have to wash some more
HOW NOT TO HAVE TO DRY THE DISHES (Falling Up),If you have to dry the dishes,drop,dishes,chore,Funny,do not groan at this chore,but while you dry the dishes,be sure they don't fall to the floor
HOW NOT TO HAVE TO DRY THE DISHES (Falling Up),If you have to dry the dishes,drop,dishes,chore,Funny,Please don't think it is a chore,If you were swimming with the fishes,You would despise it even more.
WARNING (Where the Sidewalk Ends),Inside everybody’s nose,sharp-toothed,bite,nail,Neutral,A sharp-toothed beast resides.,His nail can scratch his toes,His bite can raise the tides.
WARNING (Where the Sidewalk Ends),Inside everybody’s nose,sharp-toothed,bite,nail,Neutral,sharp-toothed hairs that bite,As winter air travels and strikes a pose,Like a nail holding together a kite
WARNING (Where the Sidewalk Ends),Inside everybody’s nose,sharp-toothed,bite,nail,Neutral,And underneath their nail,are the same molecules of a sharp toothed shark,who's bite will make you wail
CAPTAIN HOOK (Where the Sidewalk Ends),Captain Hook must remember,hook,captain,careful,Funny,Not to scratch his toes.,Captain Hook must watch out,And never pick his nose.
CAPTAIN HOOK (Where the Sidewalk Ends),Captain Hook must remember,hook,captain,careful,Funny,Careful read the funny words .,People around  him they looking,Funny words Captain Hook writing .
CAPTAIN HOOK (Where the Sidewalk Ends),Captain Hook must remember,hook,captain,careful,Funny,How he lost his hand.,"If he can't remember,",Careful- PETER PAN.
MY ZOOOTCH (Every Thing On It),"I never have nightmares,",nightmares,never,have,Funny,I always have day dreams,The problem that always scares,Is that I don't know what that means!
MY ZOOOTCH (Every Thing On It),"I never have nightmares,",nightmares,never,have,Funny,Though I dream every night.,The monsters visit me and no one cares,I am the one to give them a fright.
MY ZOOOTCH (Every Thing On It),"I never have nightmares,",nightmares,never,have,Funny,I sleep during the DAY.,"If I have a nightmare,",It's best to stay away.
NOPE (Falling Up),I put a piece of cantaloupe,cantaloupe,microscope,nope,Funny,Underneath the microscrope,and even though my mom said nope,"I quickly ate it, it was dope"
NOPE (Falling Up),I put a piece of cantaloupe,cantaloupe,microscope,nope,Funny,the cantaloupe move to the edge,there is my aunt with a microscope,trying to tell me that is a veg
NOPE (Falling Up),I put a piece of cantaloupe,cantaloupe,microscope,nope,Funny,under the microscope to take a quick peek.,"Looking for the secret to the cantaloupe's sweetness, but nope,","Its sweetness secrets I could not find, which makes me mope."
MY RULES (Where the Sidewalk Ends),"If you want to marry me, here’s what you’ll have to do:",marry,rules,troubled,Funny,"Be polite and thoughtful, following all the rules.",I won't be troubled or wed by a grumpy rude man,"No, only a kind and caring soul will do."
MY RULES (Where the Sidewalk Ends),"If you want to marry me, here’s what you’ll have to do:",marry,rules,troubled,Funny,You must learn how to make a perfect chicken-dumpling stew.,"And you must sew my holey socks,","And soothe my troubled mind,"
MY RULES (Where the Sidewalk Ends),"If you want to marry me, here’s what you’ll have to do:",marry,rules,troubled,Funny,You must learn how to make a perfect chicken-dumpling stew.,"And you must sew my holey socks,","And soothe my troubled mind,"
DIVING BOARD (Falling Up),You’ve been up on that diving board,diving,board,dive,Funny,Won't you take a dive?,You've been on that diving board since dawn,and it's 11:35.
DIVING BOARD (Falling Up),You’ve been up on that diving board,diving,board,dive,Funny,Looking to take a sharp dive,And if you knew what all this was truly for,You would have taken the slide
DIVING BOARD (Falling Up),You’ve been up on that diving board,diving,board,dive,Funny,You've been trying to learn how to use it.,"You've tried it all, eve tried asking the Lord.","If you don't learn soon, you're going to lose it."
HAPPY ENDING? (Every Thing On It),There are no happy endings.,endings,start,happy,Neutral,Only happy at the start.,"There can't be happy endings,",Most endings will break your heart.
HAPPY ENDING? (Every Thing On It),There are no happy endings.,endings,start,happy,Neutral,Life is one big continuous dream.,It provides you a lot of vendings.,"But be careful, because nothing is as it seems."
HAPPY ENDING? (Every Thing On It),There are no happy endings.,endings,start,happy,Neutral,"To start, admit this is so",But only complex blendings,Of happy and sad we know.
YEARS FROM NOW (Every Thing On It),Although I cannot see your face,smile,face,laughing,Happy,"I know a special smile is there,","I hear the laughing in your voice,",It reminds me how much you care.
YEARS FROM NOW (Every Thing On It),Although I cannot see your face,smile,face,laughing,Happy,As you flip these poems awhile,Somewhere from some far-off place,I hear you laughing--and I smile.
YEARS FROM NOW (Every Thing On It),Although I cannot see your face,smile,face,laughing,Happy,I feel the lines in your smile.,"I know you're full of grace,",And laughing every mile.
